,id,name,short_description,gender,country,occupation,birth_year,death_year,manner_of_death,age_of_death,agerange
69629,Q464394,Forough Farrokhzad,poet,Female,Iran,Artist,1935,1967.0,accident,32.0,30-39
69664,Q464565,Robert Spillane,actor,Male,United States of America,Artist,1964,2010.0,accident,46.0,40-49
69672,Q464605,Beatrice Hsu,actor,Female,Taiwan,Artist,1978,2007.0,accident,29.0,
69685,Q464678,Ayşe Şan,singer,Female,Turkey,Artist,1938,1996.0,natural causes,58.0,50-59
69691,Q464714,Richard S. Castellano,actor,Male,United States of America,Artist,1933,1988.0,natural causes,55.0,50-59
69751,Q465005,Divya Bharti,actress,Female,India,Artist,1974,1993.0,accident,19.0,18-29
69782,Q465186,Lina Romay,actress,Female,Spain,Artist,1954,2012.0,natural causes,58.0,50-59
69789,Q465215,Jorge Lazaroff,composer,Male,Uruguay,Artist,1950,1989.0,,39.0,30-39
69806,Q465264,Qiu Miaojin,,Female,Taiwan,Artist,1969,1995.0,suicide,26.0,
69808,Q465268,Yoshiko Tanaka,singer,Female,Japan,Artist,1956,2011.0,natural causes,55.0,50-59
69939,Q465877,Elis Regina,singer,Female,Brazil,Artist,1945,1982.0,,37.0,30-39
70029,Q466250,Alma Cogan,singer,Female,United Kingdom,Artist,1932,1966.0,natural causes,34.0,30-39
70100,Q466552,Tim Sullivan,film,Male,United States of America,Artist,1964,2019.0,,55.0,50-59
70124,Q466652,Gordon Duncan,composer,Male,United Kingdom,Artist,1964,2005.0,suicide,41.0,40-49
70140,Q466722,Chris Avram,actor,Male,Romania,Artist,1931,1989.0,natural causes,58.0,50-59
70147,Q466751,Rich Cronin,singer,Male,United States of America,Artist,1974,2010.0,natural causes,36.0,30-39
70233,Q467213,Parveen Babi,actress,Female,India,Artist,1954,2005.0,,51.0,50-59
70278,Q467544,Michelle Meldrum,,Female,United States of America; Sweden,Artist,1968,2008.0,,40.0,
70303,Q467670,Karen Dalton,musician,Female,United States of America,Artist,1937,1993.0,natural causes,56.0,50-59
70457,Q468470,Christian Bach,actress,Female,Mexico; Argentina,Artist,1959,2019.0,natural causes,60.0,
70467,Q468564,Yasmin Ahmad,film,Female,Malaysia,Artist,1958,2009.0,natural causes,51.0,
70554,Q469055,Michelle Thomas,actress,Female,United States of America,Artist,1969,1998.0,natural causes,29.0,18-29
70567,Q469097,Lyn Collins,musician,Female,United States of America,Artist,1948,2005.0,natural causes,57.0,50-59
70595,Q469319,Nadia Anjuman,poet,Female,Afghanistan,Artist,1981,2005.0,homicide,24.0,
70670,Q469707,Sawako Ariyoshi,writer,Female,Japan,Artist,1931,1984.0,natural causes,53.0,50-59
70763,Q470086,Kellie Waymire,actress,Female,United States of America,Artist,1967,2003.0,,36.0,30-39
70767,Q470112,Stephanie Niznik,actress,Female,United States of America,Artist,1967,2019.0,,52.0,50-59
70831,Q470452,Anna Samokhina,actress,Female,Russia; Soviet Union,Artist,1963,2010.0,natural causes,47.0,40-49
71004,Q471402,Richard Marquand,film,Male,Wales; United Kingdom,Artist,1937,1987.0,natural causes,50.0,
71098,Q472097,Amir Rešić,singer,Male,Bosnia and Herzegovina,Artist,1964,2007.0,,43.0,
71125,Q472244,António Feio,actor,Male,Portugal,Artist,1954,2010.0,natural causes,56.0,50-59
71239,Q472756,Piero Manzoni,artist,Male,Italy; Kingdom of Italy,Artist,1933,1963.0,natural causes,30.0,18-29
