,id,name,short_description,gender,country,occupation,birth_year,death_year,manner_of_death,age_of_death,agerange
1,Q42,Douglas Adams,writer,Male,United Kingdom,Artist,1952,2001.0,natural causes,49.0,40-49
10,Q303,Elvis Presley,singer,Male,United States of America,Artist,1935,1977.0,natural causes,42.0,40-49
69,Q862,Joseph Brodsky,poet,Male,United States of America; Soviet Union,Artist,1940,1996.0,natural causes,56.0,
102,Q1203,John Lennon,singer,Male,United Kingdom,Artist,1940,1980.0,homicide,40.0,30-39
160,Q1514,Janis Joplin,singer,Female,United States of America,Artist,1943,1970.0,accident,27.0,18-29
225,Q2643,George Harrison,musician,Male,United Kingdom,Artist,1943,2001.0,natural causes,58.0,50-59
1179,Q15897,Amy Winehouse,singer,Female,United Kingdom,Artist,1983,2011.0,accident,28.0,18-29
1516,Q23945,Ana Cristina Cesar,poet,Female,Brazil,Artist,1952,1983.0,suicide,31.0,30-39
2093,Q32923,Rituparno Ghosh,film,Male,India,Artist,1963,2013.0,natural causes,50.0,40-49
2101,Q33042,Svein Finnerud,artist,Male,Norway,Artist,1945,2000.0,,55.0,50-59
2439,Q40299,Nelsan Ellis,film,Male,United States of America,Artist,1977,2017.0,natural causes,40.0,30-39
2460,Q40572,Heath Ledger,actor,Male,Australia,Artist,1979,2008.0,,29.0,18-29
2720,Q43897,Karl Obermayr,actor,Male,Germany,Artist,1931,1985.0,,54.0,50-59
2759,Q44126,István Sándorfi,artist,Male,France,Artist,1948,2007.0,,59.0,50-59
2780,Q44301,Jim Morrison,singer,Male,United States of America,Artist,1943,1971.0,natural causes,28.0,18-29
2781,Q44315,Hide,musician,Male,Japan,Artist,1964,1998.0,suicide,34.0,30-39
2799,Q44398,Falco,musician,Male,Austria,Artist,1957,1998.0,accident,41.0,40-49
2804,Q44426,Rainer Werner Fassbinder,film,Male,West Germany,Artist,1945,1982.0,natural causes,37.0,
2929,Q45174,Parveen Shakir,writer,Female,Pakistan,Artist,1952,1994.0,,42.0,
2962,Q45336,Konrad Bayer,writer,Male,Austria,Artist,1932,1964.0,suicide,32.0,30-39
3010,Q45572,Joseph Hannesschläger,actor,Male,Germany,Artist,1962,2020.0,,58.0,50-59
3036,Q45796,Silvana Gallardo,actress,Female,United States of America,Artist,1953,2012.0,natural causes,59.0,50-59
3081,Q46392,Amjad Khan,actor,Male,India; British Raj,Artist,1940,1992.0,,52.0,50-59
3126,Q46923,Gar Samuelson,musician,Male,United States of America,Artist,1958,1999.0,,41.0,40-49
3284,Q49027,Vittorio Mezzogiorno,actor,Male,Italy; Kingdom of Italy,Artist,1941,1994.0,natural causes,53.0,50-59
3520,Q51824,Michael Spohn,writer,Male,Germany,Artist,1942,1985.0,,43.0,40-49
3531,Q51932,Erika Molny,writer,Female,Austria,Artist,1932,1990.0,,58.0,50-59
3615,Q53002,François Truffaut,film,Male,France,Artist,1932,1984.0,natural causes,52.0,50-59
3776,Q55165,Krzysztof Kieślowski,film,Male,Poland,Artist,1941,1996.0,natural causes,55.0,50-59
3823,Q55426,Glauber Rocha,film,Male,Brazil,Artist,1939,1981.0,,42.0,40-49
4095,Q57292,Ulrich Mühe,actor,Male,Germany; German Democratic Republic,Artist,1953,2007.0,natural causes,54.0,50-59
4123,Q57359,Pablito Calvo,actor,Male,Spain,Artist,1948,2000.0,,52.0,50-59
5219,Q61627,Uwe Johnson,writer,Male,Germany,Artist,1934,1984.0,natural causes,50.0,40-49
5560,Q62316,Robert Sahakyants,,Male,Armenia; Soviet Union,Artist,1950,2009.0,,59.0,
5961,Q63152,Drafi Deutscher,singer,Male,Germany,Artist,1946,2006.0,natural causes,60.0,50-59
6633,Q65003,Barbara Rudnik,actress,Female,Germany,Artist,1958,2009.0,,51.0,50-59
6836,Q65533,Dana Vávrová,actress,Female,Germany; Czech Republic,Artist,1967,2009.0,natural causes,42.0,
6994,Q66019,Heidi Brühl,singer,Female,Germany,Artist,1942,1991.0,natural causes,49.0,40-49
7152,Q66465,Peter Lee Lawrence,actor,Male,West Germany,Artist,1944,1974.0,,30.0,
7336,Q66950,Rolf Dieter Brinkmann,poet,Male,Germany,Artist,1940,1975.0,,35.0,30-39
7464,Q67287,Frank Giering,actor,Male,Germany,Artist,1971,2010.0,,39.0,30-39
7735,Q68030,Michael Karoli,musician,Male,Germany,Artist,1948,2001.0,natural causes,53.0,50-59
7776,Q68137,Irmtraud Morgner,writer,Female,Germany; German Democratic Republic,Artist,1933,1990.0,natural causes,57.0,50-59
8160,Q69266,Rolf Köhler,musician,Male,Germany,Artist,1951,2007.0,,56.0,50-59
8516,Q70274,Daniel Küblböck,singer,Male,Germany,Artist,1985,2018.0,,33.0,30-39
9120,Q71474,Raimund Harmstorf,actor,Male,Germany,Artist,1939,1998.0,suicide,59.0,50-59
9297,Q71895,Kurt Raab,actor,Male,Germany,Artist,1941,1988.0,natural causes,47.0,40-49
9682,Q72791,Gisela Elsner,,Female,Germany,Artist,1937,1992.0,suicide,55.0,50-59
10109,Q73799,Frank Ripploh,actor,Male,Germany,Artist,1949,2002.0,,53.0,50-59
10143,Q73899,Klaus Wennemann,actor,Male,Germany,Artist,1940,2000.0,natural causes,60.0,50-59
10391,Q74714,Jaroslav Drbohlav,actor,Male,Czech Republic,Artist,1947,1985.0,,38.0,30-39
10448,Q74899,Michael Pfleghar,film,Male,Germany,Artist,1933,1991.0,suicide,58.0,50-59
10547,Q75136,Silvia Seidel,actress,Female,Germany,Artist,1969,2012.0,suicide,43.0,40-49
11166,Q76399,Elga Andersen,actress,Female,Germany,Artist,1935,1994.0,natural causes,59.0,50-59
11251,Q76550,Susanne Lothar,actress,Female,Germany,Artist,1960,2012.0,,52.0,50-59
11595,Q77208,Horst Bienek,writer,Male,Germany,Artist,1930,1990.0,,60.0,50-59
12257,Q78220,Thomas Kling,poet,Male,Germany,Artist,1957,2005.0,natural causes,48.0,40-49
12424,Q78430,Ulrich Roski,singer,Male,Germany,Artist,1944,2003.0,,59.0,50-59
12445,Q78469,Romy Schneider,actress,Female,France; West Germany,Artist,1938,1982.0,natural causes,44.0,
12873,Q79051,Werner Pochath,actor,Male,Austria,Artist,1939,1993.0,natural causes,54.0,50-59
13252,Q83359,James Dean,actor,Male,United States of America,Artist,1931,1955.0,accident,24.0,18-29
13551,Q84696,Bibi Besch,actress,Female,United States of America; Austria,Artist,1940,1996.0,natural causes,56.0,
13570,Q84729,Werner Schwab,artist,Male,Austria,Artist,1958,1994.0,,36.0,30-39
13592,Q84761,Rudolf Schwarzkogler,artist,Male,Austria,Artist,1940,1969.0,suicide,29.0,18-29
13697,Q84948,Volker Prechtel,actor,Male,Germany,Artist,1941,1997.0,natural causes,56.0,50-59
13730,Q85008,Axel Corti,film,Male,Austria,Artist,1933,1993.0,,60.0,50-59
14026,Q85618,Nicolas Born,writer,Male,Germany,Artist,1937,1979.0,natural causes,42.0,40-49
15371,Q87869,Humbert Fink,writer,Male,Austria,Artist,1933,1992.0,,59.0,50-59
15413,Q87932,Heinrich Schmieder,actor,Male,Germany,Artist,1970,2010.0,,40.0,30-39
15467,Q88002,Franz Innerhofer,writer,Male,Austria,Artist,1944,2002.0,,58.0,50-59
15755,Q88471,Christine Böhm,actress,Female,Austria,Artist,1954,1979.0,,25.0,18-29
15812,Q88569,Hansi Lang,singer,Male,Austria,Artist,1955,2008.0,,53.0,50-59
16313,Q89342,Constanze Engelbrecht,actress,Female,Germany,Artist,1950,2000.0,,50.0,40-49
16322,Q89359,Christian Ide Hintze,poet,Male,Austria,Artist,1953,2012.0,,59.0,50-59
16457,Q89573,Renate Ewert,actress,Female,Germany,Artist,1933,1966.0,suicide,33.0,30-39
16582,Q89773,Gerhard Friedl,film,Male,Austria,Artist,1967,2009.0,,42.0,40-49
16608,Q89826,Andrea Jürgens,singer,Female,Germany,Artist,1967,2017.0,natural causes,50.0,40-49
16741,Q90029,Peter Chatel,actor,Male,Germany,Artist,1943,1986.0,,43.0,40-49
16945,Q90348,Walter Brandorff,writer,Male,Austria,Artist,1943,1996.0,,53.0,50-59
16993,Q90430,Alf Brustellin,film,Male,Austria,Artist,1940,1981.0,,41.0,40-49
17075,Q90557,Johannes Fiebag,,Male,Germany,Artist,1956,1999.0,,43.0,40-49
17157,Q90681,Jörg Fauser,writer,Male,Germany,Artist,1944,1987.0,accident,43.0,40-49
17198,Q90750,Jürgen Fuchs,writer,Male,Germany; German Democratic Republic,Artist,1950,1999.0,natural causes,49.0,40-49
17213,Q90781,Karin Struck,writer,Female,Germany,Artist,1947,2006.0,natural causes,59.0,50-59
17330,Q90951,Veronika Neugebauer,actress,Female,Germany,Artist,1968,2009.0,natural causes,41.0,40-49
17357,Q90992,Kemal Kurt,writer,Male,Turkey; Germany,Artist,1947,2002.0,,55.0,
17654,Q91502,Sabine Sinjen,,Female,Germany,Artist,1942,1995.0,natural causes,53.0,50-59
17826,Q91758,Andreas Kunze,actor,Male,Germany,Artist,1952,2010.0,,58.0,50-59
17836,Q91772,Lisa Martinek,actress,Female,Germany,Artist,1972,2019.0,natural causes,47.0,40-49
18069,Q92144,Jenny Gröllmann,actress,Female,Germany; German Democratic Republic,Artist,1947,2006.0,,59.0,50-59
18187,Q92347,Detlev Meyer,writer,Male,Germany,Artist,1948,1999.0,,51.0,50-59
18705,Q94438,Hans Brenner,actor,Male,Austria,Artist,1938,1998.0,,60.0,50-59
18707,Q94451,José Aricó,writer,Male,Argentina,Artist,1931,1991.0,,60.0,50-59
18773,Q94721,Marisa Mell,actress,Female,Austria,Artist,1939,1992.0,natural causes,53.0,50-59
18853,Q95231,Brigitte Reimann,writer,Female,German Democratic Republic,Artist,1933,1973.0,natural causes,40.0,
19241,Q95814,Armin Meier,actor,Male,Germany,Artist,1943,1978.0,,35.0,30-39
19477,Q96201,Volker Eckstein,actor,,Germany,Artist,1946,1993.0,,47.0,40-49
19900,Q96817,Werner Bräunig,writer,Male,Germany; German Democratic Republic,Artist,1934,1976.0,,42.0,40-49
19966,Q96923,Volker Kriegel,musician,Male,Germany,Artist,1943,2003.0,,60.0,50-59
20208,Q97265,Markus Hoffmann,actor,Male,Germany,Artist,1971,1997.0,suicide,26.0,18-29
20280,Q97397,Mareike Carrière,actress,Female,Germany,Artist,1954,2014.0,natural causes,60.0,50-59
20557,Q97838,Dieter Schidor,actor,Male,Germany,Artist,1948,1987.0,natural causes,39.0,30-39
20784,Q98183,Karen Friesicke,actress,Female,Germany,Artist,1962,2015.0,suicide,53.0,50-59
20828,Q98260,Florian Furtwängler,film,Male,Germany,Artist,1935,1992.0,,57.0,50-59
21180,Q98867,Eberhard Feik,actor,Male,Germany,Artist,1943,1994.0,,51.0,50-59
21404,Q99281,Werner Giesa,writer,Male,Germany,Artist,1954,2008.0,,54.0,50-59
21526,Q99533,Matthias Hinze,actor,Male,Germany,Artist,1969,2007.0,,38.0,30-39
21777,Q100251,Peter Vogel,film,Male,Germany,Artist,1937,1978.0,suicide,41.0,40-49
22095,Q100866,Peter Niklas Wilson,writer,Male,Germany,Artist,1957,2003.0,,46.0,40-49
22202,Q101111,Ursula Peysang,musician,Female,Germany,Artist,1953,1991.0,,38.0,30-39
22462,Q101803,Bettina Spier,actress,Female,Germany,Artist,1960,2008.0,,48.0,40-49
22653,Q102128,Jef Murray,artist,Male,United States of America; United Kingdom,Artist,1960,2015.0,,55.0,
22654,Q102129,Rolf Glasmeier,artist,Male,Germany,Artist,1945,2003.0,,58.0,50-59
22830,Q102484,Reinhard Karl,,Male,Germany,Artist,1946,1982.0,,36.0,30-39
22908,Q102627,Werner Stocker,actor,Male,Germany,Artist,1955,1993.0,natural causes,38.0,30-39
22926,Q102678,Andreas Schmidt,actor,Male,Germany,Artist,1963,2017.0,natural causes,54.0,50-59
22974,Q102783,Susanne Cramer,actress,Female,Germany,Artist,1936,1969.0,natural causes,33.0,30-39
23329,Q103611,Brigitte Rau,film,Female,Germany,Artist,1933,1979.0,,46.0,40-49
23361,Q103695,Manfred Salzgeber,actor,Male,Germany,Artist,1943,1994.0,,51.0,50-59
23382,Q103751,Inga Abel,actress,Female,Germany,Artist,1946,2000.0,natural causes,54.0,50-59
23488,Q103994,Uwe Reimer,writer,Male,Germany,Artist,1948,2004.0,,56.0,50-59
23594,Q104259,Milan Mladenović,musician,Male,Socialist Federal Republic of Yugoslavia,Artist,1958,1994.0,natural causes,36.0,
23824,Q104760,Benny Quick,singer,Male,Germany,Artist,1943,1999.0,,56.0,50-59
23936,Q105003,Amadeus August,actor,Male,Germany,Artist,1942,1992.0,natural causes,50.0,40-49
23958,Q105049,Mick Werup,actor,Male,Germany,Artist,1958,2011.0,,53.0,50-59
24000,Q105125,Alexandra Cordes,writer,Female,Germany,Artist,1935,1986.0,,51.0,50-59
24019,Q105187,Nikolaus Berwanger,writer,Male,Germany,Artist,1935,1989.0,,54.0,50-59
24250,Q105681,Helga Feddersen,actress,Female,Germany,Artist,1930,1990.0,natural causes,60.0,50-59
24365,Q105915,Thomas Alder,actor,Male,Germany,Artist,1932,1968.0,,36.0,30-39
24453,Q106087,Hubert Fichte,writer,Male,Germany,Artist,1935,1986.0,,51.0,50-59
24565,Q106307,Marcus Brühl,writer,Male,Germany,Artist,1975,2015.0,,40.0,30-39
24710,Q106655,May Ayim,poet,Female,Germany,Artist,1960,1996.0,suicide,36.0,30-39
24831,Q106919,Silvana Mangano,actress,Female,Italy; Kingdom of Italy,Artist,1930,1989.0,natural causes,59.0,50-59
25068,Q107458,Simone Frost,actress,,Germany,Artist,1958,2009.0,,51.0,50-59
25172,Q107683,Ulrich Schamoni,film,Male,Germany,Artist,1939,1998.0,natural causes,59.0,50-59
25389,Q108104,Karina Kraushaar,actress,Female,Germany; German Democratic Republic,Artist,1971,2015.0,,44.0,40-49
25452,Q108237,Jonatan Briel,actor,Male,Germany,Artist,1942,1988.0,,46.0,40-49
25650,Q108647,Jason Raize,actor,Male,United States of America,Artist,1975,2004.0,suicide,29.0,18-29
25818,Q108987,Philipp Brammer,actor,Male,Germany,Artist,1969,2014.0,,45.0,40-49
25998,Q109383,Wolfgang Jansen,actor,Male,Germany,Artist,1938,1988.0,,50.0,40-49
26121,Q109615,Ronald M. Schernikau,writer,Male,Germany,Artist,1960,1991.0,,31.0,30-39
26160,Q109718,Julia Palmer-Stoll,actress,Female,Germany,Artist,1984,2005.0,,21.0,18-29
26208,Q109824,Erich Hallhuber,actor,Male,Germany,Artist,1951,2003.0,,52.0,50-59
26505,Q110506,Angelika Mechtel,writer,Female,Germany,Artist,1943,2000.0,,57.0,50-59
26730,Q111038,Bärbel Mohr,writer,Female,Germany,Artist,1964,2010.0,natural causes,46.0,40-49
26756,Q111087,Ofra Haza,singer,Female,Israel,Artist,1957,2000.0,natural causes,43.0,40-49
26819,Q111262,Diether Krebs,actor,Male,Germany,Artist,1947,2000.0,natural causes,53.0,50-59
27312,Q112791,Thomas Mitscherlich,film,Male,Germany,Artist,1942,1998.0,,56.0,50-59
27374,Q112967,Peter von Tramin,writer,Male,Austria,Artist,1932,1981.0,,49.0,40-49
27385,Q112994,Christian Habicht,actor,Male,Germany,Artist,1952,2010.0,natural causes,58.0,50-59
27500,Q113353,Leo Korn,singer,Male,Austria,Artist,1958,2008.0,,50.0,40-49
27528,Q113426,Marianne Fritz,writer,Female,Austria,Artist,1948,2007.0,natural causes,59.0,50-59
27638,Q113792,Werner Wichtig,singer,Male,Germany,Artist,1962,1992.0,,30.0,18-29
27646,Q113813,Renate Kern,singer,,Germany,Artist,1945,1991.0,,46.0,40-49
27672,Q113880,Wolfgang Reichmann,actor,Male,Germany,Artist,1932,1991.0,natural causes,59.0,50-59
27920,Q114796,Paul Löwinger junior,writer,Male,Austria,Artist,1949,2009.0,,60.0,50-59
27922,Q114800,Niki List,film,,Austria,Artist,1956,2009.0,,53.0,50-59
27949,Q114896,Nikolas Vogel,film,Male,Austria; Australia,Artist,1967,1991.0,,24.0,
28186,Q115733,Anita Traversi,singer,Female,Switzerland,Artist,1937,1991.0,,54.0,50-59
28328,Q116179,Michel Soutter,film,Male,Switzerland,Artist,1932,1991.0,natural causes,59.0,50-59
28554,Q117132,Norton Nascimento,actor,Male,Brazil,Artist,1962,2007.0,,45.0,40-49
28847,Q118233,Sergey Kuryokhin,musician,Male,Russia; Soviet Union,Artist,1954,1996.0,natural causes,42.0,40-49
29074,Q118978,Peter-Ernst Eiffe,artist,Male,Germany,Artist,1941,1982.0,,41.0,40-49
29097,Q119046,Cliff Gallup,musician,Male,United States of America,Artist,1930,1988.0,,58.0,50-59
29200,Q119358,Andreas Franz,writer,Male,Germany,Artist,1954,2011.0,,57.0,50-59
29229,Q119438,Anatoly Zverev,painter,Male,Soviet Union,Artist,1931,1986.0,,55.0,50-59
29441,Q120116,Kay Sabban,actor,,Germany,Artist,1952,1992.0,,40.0,30-39
29771,Q121064,Alexander Ziegler,writer,Male,Switzerland,Artist,1944,1987.0,,43.0,40-49
29774,Q121068,André Thomkins,artist,Male,Switzerland,Artist,1930,1985.0,,55.0,50-59
29787,Q121093,William Voltz,writer,Male,Germany,Artist,1938,1984.0,,46.0,40-49
29789,Q121098,Evelyne Kraft,actress,Female,Switzerland,Artist,1951,2009.0,,58.0,50-59
30035,Q121699,Marcel Werner,actor,Male,Germany,Artist,1952,1986.0,,34.0,30-39
30157,Q121999,Ulrich Stranz,composer,Male,Switzerland; Germany,Artist,1946,2004.0,,58.0,
30419,Q122666,Carl Schenkel,film,Male,Switzerland,Artist,1948,2003.0,natural causes,55.0,50-59
30575,Q123204,Eva Heller,writer,Female,Germany,Artist,1948,2008.0,,60.0,50-59
30789,Q123793,Joachim Höppner,actor,Male,Germany,Artist,1946,2006.0,,60.0,50-59
31032,Q124287,Aglaja Veteranyi,actor,Female,Switzerland; Romania,Artist,1962,2002.0,suicide,40.0,
31065,Q124372,Hermann Burger,writer,Male,Switzerland,Artist,1942,1989.0,suicide,47.0,40-49
31095,Q124444,Marcel Lang,singer,Male,Switzerland,Artist,1956,2009.0,,53.0,50-59
31220,Q124716,August Kühn,writer,Male,Germany,Artist,1936,1996.0,,60.0,50-59
31675,Q126164,Tina Aumont,actress,Female,United States of America; France,Artist,1946,2006.0,natural causes,60.0,
31810,Q126693,Yılmaz Güney,film,Male,Turkey,Artist,1937,1984.0,natural causes,47.0,40-49
31842,Q126792,Françoise Cactus,writer,Female,France; Germany,Artist,1964,2021.0,,57.0,
32265,Q130164,Mehmet Emin Toprak,actor,Male,Turkey,Artist,1974,2002.0,,28.0,18-29
32621,Q137582,Tom Arden,writer,Male,Australia,Artist,1961,2015.0,natural causes,54.0,50-59
32622,Q137590,René Klijn,singer,Male,Kingdom of the Netherlands,Artist,1962,1993.0,,31.0,30-39
32680,Q138477,Larisa Shepitko,film,Female,Soviet Union,Artist,1938,1979.0,accident,41.0,40-49
32746,Q139428,Regina Dourado,,Female,Brazil,Artist,1952,2012.0,,60.0,50-59
32835,Q141114,Sergei Dovlatov,writer,Male,United States of America; Soviet Union,Artist,1941,1990.0,,49.0,
32930,Q143506,Carlos d'Alessio,,Male,United States of America; France; Argentina,Artist,1935,1992.0,natural causes,57.0,
32950,Q144185,Zahra Kazemi,,Female,Canada; Iran,Artist,1948,2003.0,homicide,55.0,
32988,Q144904,Zal Yanovsky,singer,Male,United States of America,Artist,1944,2002.0,natural causes,58.0,50-59
33101,Q150126,Hasret Gültekin,musician,Male,Turkey,Artist,1971,1993.0,,22.0,18-29
33319,Q152767,Brad Renfro,actor,Male,United States of America,Artist,1982,2008.0,,26.0,18-29
33358,Q153141,Scatman John,musician,Male,United States of America,Artist,1942,1999.0,natural causes,57.0,50-59
33387,Q153346,Mel Pritchard,musician,Male,United Kingdom,Artist,1948,2004.0,natural causes,56.0,50-59
33584,Q155407,Jean-Michel Basquiat,artist,Male,United States of America,Artist,1960,1988.0,accident,28.0,18-29
33668,Q156300,Michael Kamen,film,Male,United States of America,Artist,1948,2003.0,natural causes,55.0,50-59
33895,Q159347,Steve McQueen,actor,Male,United States of America,Artist,1930,1980.0,natural causes,50.0,40-49
34107,Q162041,Suzanne Gabriello,singer,Female,France,Artist,1932,1992.0,,60.0,50-59
34118,Q162136,Jakob Ejersbo,writer,Male,Denmark,Artist,1968,2008.0,natural causes,40.0,30-39
34187,Q163072,Pierre Moerlen,musician,Male,France,Artist,1952,2005.0,,53.0,50-59
34254,Q163947,"Jimmy ""Orion"" Ellis",singer,Male,United States of America,Artist,1945,1998.0,homicide,53.0,50-59
34307,Q164526,Ajita Wilson,actress,Transgender Female,United States of America,Artist,1950,1987.0,natural causes,37.0,30-39
34482,Q166351,Robert Jordan,writer,Male,United States of America,Artist,1948,2007.0,natural causes,59.0,50-59
34689,Q168092,Zbigniew Karkowski,musician,Male,Poland,Artist,1958,2013.0,natural causes,55.0,50-59
34707,Q168172,Zbigniew Seifert,musician,Male,Poland,Artist,1946,1979.0,,33.0,30-39
34763,Q168600,Woody Shaw,musician,Male,United States of America,Artist,1944,1989.0,accident; natural causes,45.0,40-49
34793,Q168847,Brittany Murphy,actress,Female,United States of America,Artist,1977,2009.0,natural causes,32.0,30-39
35563,Q174183,Magdalen Nabb,writer,Female,United Kingdom,Artist,1947,2007.0,natural causes,60.0,50-59
35693,Q175571,Jill Ireland,actress,Female,United Kingdom,Artist,1936,1990.0,natural causes,54.0,50-59
35770,Q176323,Bernie Mac,actor,Male,United States of America,Artist,1957,2008.0,natural causes,51.0,50-59
35780,Q176409,Brett Whiteley,artist,Male,Australia,Artist,1939,1992.0,,53.0,50-59
35794,Q176537,Andy Gibb,singer,Male,United Kingdom,Artist,1958,1988.0,,30.0,18-29
35982,Q178393,Narendra Bedi,film,Male,India; British Raj,Artist,1937,1982.0,,45.0,40-49
36104,Q179878,Teresa Iżewska,actress,Female,Poland,Artist,1933,1982.0,suicide,49.0,40-49
36142,Q180329,Fernando Eduardo Carita,writer,Male,Portugal,Artist,1961,2013.0,,52.0,50-59
36168,Q180560,Philip Seymour Hoffman,actor,Male,United States of America,Artist,1967,2014.0,accident,47.0,40-49
36206,Q180919,Natalie Wood,actress,Female,United States of America,Artist,1938,1981.0,accident,43.0,40-49
36245,Q181483,Jackie Wilson,singer,Male,United States of America,Artist,1934,1984.0,natural causes,50.0,40-49
36476,Q183471,Claude Jade,actress,Female,France,Artist,1948,2006.0,natural causes,58.0,50-59
36785,Q188208,Åke Persson,musician,Male,Sweden,Artist,1932,1975.0,,43.0,40-49
36825,Q188726,Anthony Minghella,film,Male,United Kingdom,Artist,1954,2008.0,natural causes,54.0,50-59
37086,Q193146,Anthony Perkins,actor,Male,United States of America,Artist,1932,1992.0,natural causes,60.0,50-59
37229,Q195522,Ahmad Zahir,singer,Male,Afghanistan,Artist,1946,1979.0,homicide,33.0,
37396,Q198257,Adrian Pintea,actor,Male,Romania,Artist,1954,2007.0,,53.0,50-59
37421,Q198939,Javier Solís,actor,Male,Mexico,Artist,1931,1966.0,,35.0,30-39
37503,Q200717,Wynn Stewart,singer,Male,United States of America,Artist,1934,1985.0,,51.0,50-59
37557,Q201259,John Berg,actor,Male,United States of America,Artist,1949,2007.0,suicide,58.0,50-59
37749,Q203413,Alfredo Zitarrosa,musician,Male,Uruguay,Artist,1936,1989.0,,53.0,50-59
37817,Q204162,Bon Scott,musician,Male,United Kingdom; Australia,Artist,1946,1980.0,death by misadventure,34.0,
37820,Q204218,Stuart Sutcliffe,painter,Male,United Kingdom,Artist,1940,1962.0,natural causes,22.0,18-29
37861,Q204836,José Antonio Ramos,musician,Male,Spain,Artist,1969,2008.0,,39.0,30-39
37915,Q205456,Theo van Gogh,film,Male,Kingdom of the Netherlands,Artist,1957,2004.0,homicide,47.0,40-49
37957,Q206022,Andrew Britton,writer,Male,United States of America,Artist,1981,2008.0,,27.0,18-29
38365,Q212545,Natasha Richardson,actress,Female,United Kingdom,Artist,1963,2009.0,accident,46.0,40-49
38617,Q213864,Paul Walker,actor,Male,United States of America,Artist,1973,2013.0,,40.0,30-39
39643,Q216245,Hans Maria Wellen,composer,Male,Germany,Artist,1932,1992.0,,60.0,50-59
39821,Q216924,Glenn Gould,composer,Male,Canada,Artist,1932,1982.0,natural causes,50.0,40-49
39911,Q218532,John Candy,actor,Male,Canada,Artist,1950,1994.0,natural causes,44.0,40-49
39943,Q218979,Zoltán Latinovits,actor,Male,Hungary,Artist,1931,1976.0,suicide,45.0,40-49
39963,Q219309,Nikolai Andrianov,,Male,Soviet Union,Artist,1952,2011.0,,59.0,50-59
40003,Q219700,Andy Whitfield,actor,Male,Wales; Australia,Artist,1971,2011.0,natural causes,40.0,
40010,Q219782,Dusty Springfield,singer,Female,United Kingdom,Artist,1939,1999.0,natural causes,60.0,50-59
40214,Q223271,Anthony de Mello,writer,Male,India; British Raj,Artist,1931,1987.0,natural causes,56.0,50-59
40252,Q224071,Maria Schneider,actor,Female,France,Artist,1952,2011.0,natural causes,59.0,50-59
40302,Q224912,Christopher Nolan,poet,Male,Ireland,Artist,1965,2009.0,,44.0,40-49
40415,Q228699,Sharon Tate,actress,Female,United States of America,Artist,1943,1969.0,homicide,26.0,18-29
40433,Q229144,Eva Cassidy,singer,Female,United States of America,Artist,1963,1996.0,natural causes,33.0,30-39
40458,Q229364,Naya Rivera,actress,Female,United States of America,Artist,1987,2020.0,,33.0,30-39
40490,Q230011,Lee Remick,actress,Female,United States of America,Artist,1935,1991.0,natural causes,56.0,50-59
40512,Q230438,Isabelle Caro,actress,Female,France,Artist,1982,2010.0,,28.0,18-29
40534,Q230681,Jean Seberg,actress,Female,United States of America,Artist,1938,1979.0,suicide,41.0,40-49
40572,Q231188,Zuzana Brabcová,writer,Female,Czech Republic,Artist,1959,2015.0,,56.0,50-59
40576,Q231225,Zuzana Navarová,singer,Female,France; Czech Republic,Artist,1959,2004.0,natural causes,45.0,
40701,Q232371,Lucy Gordon,actress,Female,United Kingdom,Artist,1980,2009.0,suicide,29.0,18-29
40846,Q233968,Frida Boccara,singer,Female,France; Morocco,Artist,1940,1996.0,,56.0,
40867,Q234068,Madeline Kahn,actress,Female,United States of America,Artist,1942,1999.0,natural causes,57.0,50-59
40948,Q234630,Adrienne Shelly,actress,Female,United States of America,Artist,1966,2006.0,homicide,40.0,30-39
40965,Q234861,Laura Nyro,musician,Female,United States of America,Artist,1947,1997.0,natural causes,50.0,40-49
41016,Q235243,Melanie Thornton,,Female,United States of America,Artist,1967,2001.0,accident,34.0,30-39
41072,Q235641,Marie Trintignant,actress,Female,France,Artist,1962,2003.0,homicide,41.0,40-49
41106,Q235845,Marcheline Bertrand,actress,Female,United States of America,Artist,1950,2007.0,natural causes,57.0,50-59
41116,Q235931,Teena Marie,singer,Female,United States of America,Artist,1956,2010.0,,54.0,50-59
41121,Q235982,Françoise Dorléac,film,Female,France,Artist,1942,1967.0,accident,25.0,18-29
41167,Q236560,Mariska Veres,singer,Female,Kingdom of the Netherlands,Artist,1947,2006.0,natural causes,59.0,50-59
41175,Q236638,Sandy Denny,singer,Female,United Kingdom,Artist,1947,1978.0,accident,31.0,30-39
41186,Q236842,Kelly Preston,actress,Female,United States of America,Artist,1962,2020.0,,58.0,50-59
41258,Q237446,Mia Martini,singer,Female,Italy,Artist,1947,1995.0,,48.0,40-49
41399,Q238895,Carolyn Jones,actress,Female,United States of America,Artist,1930,1983.0,natural causes,53.0,50-59
41449,Q239469,Barbara Buchholz,composer,Female,Germany,Artist,1959,2012.0,natural causes,53.0,50-59
41461,Q239691,Sandy Dennis,actress,Female,United States of America,Artist,1937,1992.0,natural causes,55.0,50-59
41474,Q239849,Diana Dors,actress,Female,United Kingdom,Artist,1931,1984.0,natural causes,53.0,50-59
41546,Q240554,Kristen Pfaff,musician,Female,United States of America,Artist,1967,1994.0,,27.0,18-29
